Subclass	Order	Species	BMR (mlO2/hour)	Body mass for BMR (gr)	Reference for BMR	FMR (kJ/day)	Body mass for FMR (gr)	Reference for FMR
Eutheria	Rodentia	Xerus inauris	326.28	542	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Xerus princeps	340.13	602	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Zapus hudsonicus	35.7	23.8	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Zyzomys argurus	-9999	-9999	-9999	15.6	46.8	Anderson & Jetz 2005
Eutheria	Scandentia	Orycteropus afer	6144	48000	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Scandentia	Ptilocerus lowii	43.5	58	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Scandentia	Tupaia glis	93.48	123	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Scandentia	Urogale everetti	224.1	260.6	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Xenarthra	Bradypus variegatus	685.99	3790	White et al06BiolLett	545	4150	Nagy et al99
Eutheria	Xenarthra	Cabassous centralis	916.8	4330	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Xenarthra	Chaetophractus nationi	559	2150	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Xenarthra	Chaetophractus vellorosus	306.36	1110	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Xenarthra	Chaetophractus villosus	808.12	4540	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Xenarthra	Choloepus hoffmanni	603.2	3770	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Xenarthra	Cyclopes didactylus	114.48	240	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Xenarthra	Dasypus novemcinctus	865.22	3510	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Xenarthra	Euphractus sexcinctus	1236.69	8190	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Xenarthra	Myrmecophaga tridactyla	2607.17	30600	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Xenarthra	Priodontes maximus	3027.73	45190	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Xenarthra	Tamandua mexicana	991.52	3976.67	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Xenarthra	Tamandua tetradactyla	898.8	3500	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Xenarthra	Tolypeutes matacus	209.96	1160	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Xenarthra	Zaedyus pichi	393.24	1740	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Dasyuromorpha	Antechinomys laniger (Sminthopsis laniger)	25.28	25.8	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Dasyuromorpha	Antechinus flavipes	45.105	46.5	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Dasyuromorpha	Antechinus stuartii	33.79	28.2	White et al06BiolLett	70.4	25.3	Nagy & Bradshaw 2000
Marsupialia	Dasyuromorpha	Antechinus swainsonii	63	66.9	White et al06BiolLett	134	47.5	Nagy & Bradshaw 2000
Marsupialia	Dasyuromorpha	Dasycercus cristicaudata	51.01	101	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Dasyuromorpha	Dasyuroides byrnei (Dasycercus byrnei)	71.71	91.71	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Dasyuromorpha	Dasyurus geoffroyi	568.68	1354	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Dasyuromorpha	Dasyurus hallucatus	243.01	558	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Dasyuromorpha	Dasyurus maculatus	558.06	1782	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Dasyuromorpha	Dasyurus viverrinus	396.2	982	White et al06BiolLett	793	1029	Anderson & Jetz 2005
Marsupialia	Dasyuromorpha	Myrmecobius fasciatus	142.4	400	White et al06BiolLett	268.9	488.2	Cooper et al03
Marsupialia	Dasyuromorpha	Ningaui yvonnae	15.66	11.6	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Dasyuromorpha	Paranthechinus apicalis	-9999	-9999	-9999	94.25	51.5	Speakman 2000
Marsupialia	Dasyuromorpha	Phascogale calura	-9999	-9999	-9999	61.9	33.5	Nagy & Bradshaw 2000
Marsupialia	Dasyuromorpha	Phascogale tapoatafa	127.17	157	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Dasyuromorpha	Planigale gilesi	6.98	9.07	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Dasyuromorpha	Planigale ingrami	11.3	7.1	White&Seymour03PNAS	-9999	-9999	-9999
Marsupialia	Dasyuromorpha	Planigale maculata	12	10.8	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Dasyuromorpha	Planigale tenuirostris	11.289	7.1	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Dasyuromorpha	Sarcophilus harrisii (Sarcophilus laniarius)	1325.363	5775	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Dasyuromorpha	Sminthopsis crassicaudata	25.1	16.4	White et al06BiolLett	49	11.4	Nagy & Bradshaw 2000
Marsupialia	Dasyuromorpha	Sminthopsis macroura	22.54	19.35	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Dasyuromorpha	Sminthopsis murina	21.47	19	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Didelphimorphia	Caluromys derbianus	225.03	328.5	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Didelphimorphia	Chironectes minimus	456.5	934.5	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Didelphimorphia	Didelphis marsupialis	570.605	1164.5	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Didelphimorphia	Didelphis virginiana	831.93	2488.33	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Didelphimorphia	Gracilinanus microtarsus	18.72	13	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Didelphimorphia	Lutreolina crassicaudata	406	812	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Didelphimorphia	Marmosa robinsoni	97.6	122	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Didelphimorphia	Metachirus nudicaudatus	204.96	336	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Didelphimorphia	Monodelphis brevicaudata	56.51	75.5	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Didelphimorphia	Monodelphis domestica	60.01	104	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Didelphimorphia	Philander opossum	337.95	751	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Diprodontia	Acrobates pygmaeus	15.12	14	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Diprodontia	Aepyprimnus rufescens	1071.6	2820	White et al06BiolLett	1430	2860	Nagy & Bradshaw 2000
Marsupialia	Diprodontia	Bettongia gaimardi	641.255	1385	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Diprodontia	Bettongia lesueur	-9999	-9999	-9999	442	720	Nagy & Bradshaw 2000
Marsupialia	Diprodontia	Bettongia penicillata	561.4	1018	White et al06BiolLett	603	1100	Nagy & Bradshaw 2000
Marsupialia	Diprodontia	Burramys parvus	36.769	44.3	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Diprodontia	Cercartetus conncinnus	22.32	18.6	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Diprodontia	Cercartetus lepidus	18.774	12.6	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Diprodontia	Cercartetus nanus	60.2	70	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Diprodontia	Dendrolagus matschiei	1426.8	6960	White&Seymour03PNAS	-9999	-9999	-9999
Marsupialia	Diprodontia	Gymnobelideus leadbeateri	102.9	166	White&Seymour03PNAS	225.5	125	Nagy & Bradshaw 2000
Marsupialia	Diprodontia	Hemibelideus lemuroides	-9999	-9999	-9999	675	1026	Speakman 2000
Marsupialia	Diprodontia	Lagorchestes conspicillatus	851.2	2660	White&Seymour03PNAS	680	2529	Nagy & Bradshaw 2000
Marsupialia	Diprodontia	Lagorchestes hirsutus	-9999	-9999	-9999	596.5	1402	Speakman 2000
Marsupialia	Diprodontia	Lasiorhinus krefftii	-9999	-9999	-9999	4915.1	23412.5	Evans et al03
Marsupialia	Diprodontia	Lasiorhinus latifrons	2991.7	29917	White et al06BiolLett	3802.4	28000	Evans et al03
Marsupialia	Diprodontia	Macropus eugenii	1390.2	4878	White&Seymour03PNAS	1150	4380	Nagy & Bradshaw 2000
Marsupialia	Diprodontia	Macropus giganteus	-9999	-9999	-9999	8170	43900	Nagy & Bradshaw 2000
Marsupialia	Diprodontia	Macropus robustus	5684.2	29300	White&Seymour03PNAS	1572	12912	Nagy & Bradshaw 2000
Marsupialia	Diprodontia	Macropus rufus	5848.2	32490	White&Seymour03PNAS	-9999	-9999	-9999
Marsupialia	Diprodontia	Petauroides volans	573.9	1141	White et al06BiolLett	520	995	Nagy & Bradshaw 2000
Marsupialia	Diprodontia	Petaurus breviceps	89.9	127	White et al06BiolLett	172.5	123.5	Nagy & Bradshaw 2000
Marsupialia	Diprodontia	Petrogale lateralis	-9999	-9999	-9999	610	2205	Nagy & Bradshaw 2000
Marsupialia	Diprodontia	Petrogale xanthopus	-9999	-9999	-9999	2210	8900	Nagy & Bradshaw 2000
Marsupialia	Diprodontia	Phascolarctos cinereus	1034	4765	White et al06BiolLett	1710	7520	Nagy & Bradshaw 2000
Marsupialia	Diprodontia	Potorous tridactylus	416.4	976	White et al06BiolLett	517	835	Nagy et al99
Marsupialia	Diprodontia	Pseudocheirus herbertensis	-9999	-9999	-9999	446	1103	Speakman 2000
Marsupialia	Diprodontia	Pseudocheirus peregrinus	430.5	916	White et al06BiolLett	599	853	Nagy & Bradshaw 2000
Marsupialia	Diprodontia	Setonix brachyurus	834.3	2674	White&Seymour03PNAS	548	1900	Nagy & Bradshaw 2000
Marsupialia	Diprodontia	Spilocuscus maculatus	1143.25	4250	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Diprodontia	Tarsipes rostratus	29	10	White et al06BiolLett	34.4	9.9	Nagy & Bradshaw 2000
Marsupialia	Diprodontia	Thylogale billardierii	-9999	-9999	-9999	1630	5980	Nagy & Bradshaw 2000
Marsupialia	Diprodontia	Trichosurus arnhemensis	731.6	2005	White et al06BiolLett	324	1103	Nagy & Bradshaw 2000
Marsupialia	Diprodontia	Vombatus ursinus	-9999	-9999	-9999	7935.2	33453.75	Evans et al03
Marsupialia	Notoryctemorphia	Notoryctes caurinus	21.42	34	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Peramelemorphia	Echymipera kalabu	340.55	695	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Peramelemorphia	Echymipera rufescens 	421.43	751.29	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Peramelemorphia	Isoodon auratus	149.8	428	White et al06BiolLett	211	358	Nagy & Bradshaw 2000
Marsupialia	Peramelemorphia	Isoodon macrourus	573.87	1551	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Peramelemorphia	Isoodon obesulus	222.27	717	White et al06BiolLett	690	1232	Nagy & Bradshaw 2000
Marsupialia	Peramelemorphia	Macrotis lagotis	449.665	1294	White et al06BiolLett	594.6	888	Anderson & Jetz 2005
Marsupialia	Peramelemorphia	Perameles gunni	420.174	837	White et al06BiolLett	-9999	-9999	-9999
Marsupialia	Peramelemorphia	Perameles nasuta	316.05	645	White et al06BiolLett	-9999	-9999	-9999
Monotremata	Monotremata	Ornithorhynchus anatinus	194.04	693	White et al06BiolLett	-9999	-9999	-9999
Monotremata	Monotremata	Tachyglossus aculeatus	430.55	2725	White et al06BiolLett	875	2860	Nagy et al99
Monotremata	Monotremata	Zaglossus bruijni	1215.4	10300	White et al06BiolLett	-9999	-9999	-9999
